PLAYER,SCORE,STGAIND
Danny Willett,70.94,0.004
Matt Wallace,70.96,-0.685
Max McGreevy,70.97,-0.662
Sung Kang,70.98,-0.879
Rickie Fowler,70.99,-0.162
Dylan Wu,70.99,-0.64
Patrick Reed,71,-0.299
Francesco Molinari,71.02,0.053
Paul Barjon,71.03,-0.605
Adam Schenk,71.03,-0.233
Erik van Rooyen,71.04,-0.292
Beau Hossler,71.06,0.071
Seth Reeves,71.07,-0.763
Brandt Snedeker,71.07,-0.618
Roger Sloan,71.08,-0.571
Curtis Thompson,71.09,-0.852
David Skinns,71.12,-0.708
Kevin Chappell,71.13,-0.848
Jim Herman,71.14,-0.991
Harry Higgs,71.16,-0.824
Martin Trainer,71.17,-0.885
Camilo Villegas,71.17,-0.626
Cameron Champ,71.25,-0.082
Lucas Herbert,71.28,-0.28
Matthew Wolff,71.32,-0.259
Wesley Bryan,71.37,-1.125
Bo Hoag,71.37,-0.866
Brandon Hagy,71.44,-1.046
Brett Drewitt,71.53,-1.364
Dawie van der Walt,71.55,-0.88
Richy Werenski,71.57,-1.09
Nick Watney,71.71,-0.914
Jason Dufner,71.78,-1.087
Joshua Creel,71.79,-0.966
Jonas Blixt,72.02,-1.374
Garrick Higgo,72.03,-0.98
Jon Rahm,69.04,2.098
Webb Simpson,69.19,1.253
Daniel Berger,69.25,1.296
Patrick Cantlay,69.4,1.82
Cameron Smith,69.49,1.106
Abraham Ancer,69.53,1.243
Justin Thomas,69.54,1.444
Bryson DeChambeau,69.58,1.823
Dustin Johnson,69.6,1.253
Sam Burns,69.61,1.248
Harris English,69.62,0.984
Russell Henley,69.62,0.952
Joaquin Niemann,69.67,1.124
Collin Morikawa,69.69,1.071
Brooks Koepka,69.71,1.357
Seamus Power,69.71,1.013
Xander Schauffele,69.71,1.484
Louis Oosthuizen,69.72,1.599
Patton Kizzire,69.76,0.61
Brian Harman,69.77,0.816
Emiliano Grillo,69.78,0.562
Cameron Tringale,69.79,1.079
Viktor Hovland,69.81,1.316
Scottie Scheffler,69.81,0.932
Sungjae Im,69.82,0.976
Tony Finau,69.83,1.13
Sergio Garcia,69.85,0.736
Kevin Na,69.86,0.527
Corey Conners,69.88,1.142
Will Zalatoris,69.92,1.118
Jordan Spieth,69.94,1.069
Chris Kirk,69.97,0.748
Doug Ghim,69.98,0.64
Charley Hoffman,69.99,1.194
Jason Kokrak,69.99,1.053
Hank Lebioda,70.07,0.693
Kevin Streelman,70.07,0.673
James Hahn,70.09,0.193
Patrick Reed,70.09,1.313
Paul Casey,70.1,1.22
Stewart Cink,70.1,0.463
Talor Gooch,70.1,0.68
Brice Garnett,70.11,0.075
Rory McIlroy,70.14,1.368
Jhonattan Vegas,70.14,0.633
Anirban Lahiri,70.15,0.077
Hideki Matsuyama,70.15,0.641
Aaron Wise,70.16,0.412
Ryan Palmer,70.19,0.506
Keegan Bradley,70.2,0.8
Maverick McNealy,70.22,0.233
Carlos Ortiz,70.22,0.399
Roger Sloan,70.23,0.365
Pat Perez,70.26,0.592
Ryan Armour,70.27,0.223
Cam Davis,70.28,0.472
Sepp Straka,70.28,0.137
Harold Varner III,70.3,0.862
Zach Johnson,70.33,0.642
Si Woo Kim,70.35,0.469
Tyrrell Hatton,70.36,1.14
Adam Schenk,70.36,0.188
Brian Stuard,70.37,0.315
Cameron Percy,70.38,0.108
Charles Howell III,70.39,0.393
Scott Stallings,70.39,0.123
Kevin Tway,70.4,-0.112
Russell Knox,70.41,0.194
Matt Jones,70.43,0.28
Bo Hoag,70.45,0.377
Mark Hubbard,70.45,0.169
Scott Piercy,70.46,-0.234
Ian Poulter,70.46,0.819
Luke List,70.48,0.266
Andrew Putnam,70.48,0.027
Billy Horschel,70.5,0.301
Sebastián Muñoz,70.51,0.344
Brendon Todd,70.53,0.415
Camilo Villegas,70.57,0.124
Harry Higgs,70.58,0.169
Satoshi Kodaira,70.58,-0.146
Shane Lowry,70.58,0.825
Nick Taylor,70.59,-0.033
Lucas Glover,70.6,0.36
Max Homa,70.6,0.327
Vince Whaley,70.6,-0.044
Matthew NeSmith,70.61,0.235
Alex Noren,70.61,0.634
Kyle Stanley,70.61,0.049
Erik van Rooyen,70.62,0.512
Chase Seiffert,70.63,-0.042
Matt Fitzpatrick,70.64,0.988
Branden Grace,70.64,0.383
C.T. Pan,70.65,0.274
Adam Scott,70.65,0.739
Tom Hoge,70.67,0.077
K.H. Lee,70.67,0.074
Mackenzie Hughes,70.68,-0.088
Brandt Snedeker,70.68,0.3
Robert Streb,70.68,-0.323
Aaron Baddeley,70.69,-0.42
Lanto Griffin,70.69,0.592
Jason Day,70.71,0.778
Keith Mitchell,70.71,-0.14
Sam Ryder,70.71,-0.218
Josh Teater,70.71,-0.277
Chesson Hadley,70.72,-0.005
Kevin Kisner,70.74,-0.003
Matt Kuchar,70.74,0.009
Doc Redman,70.74,-0.023
Justin Rose,70.74,0.097
Mark Anderson,70.75,-0.137
Bronson Burgoon,70.76,-0.309
Nate Lashley,70.76,-0.423
Troy Merritt,70.76,0.17
Vaughn Taylor,70.76,-0.021
Rob Oppenheim,70.77,-0.325
Rory Sabbatini,70.77,-0.078
Kramer Hickok,70.78,-0.091
John Huh,70.78,-0.228
Denny McCarthy,70.78,0.048
Joel Dahmen,70.79,-0.028
Henrik Norlander,70.81,0.013
Patrick Rodgers,70.81,0.038
Chez Reavie,70.82,0.187
Ben Taylor,70.82,-0.054
Michael Thompson,70.82,-0.063
Joseph Bramlett,70.83,-0.123
Austin Cook,70.85,-0.421
Peter Malnati,70.85,-0.062
Charl Schwartzel,70.86,0.386
Marc Leishman,70.88,0.052
Michael Gligic,70.9,-0.338
David Hearn,70.92,-0.329
Matthew Wolff,70.93,-0.168
Sean O'Hair,70.94,-0.596
Bubba Watson,70.96,0.541
Adam Hadwin,70.97,0.322
Beau Hossler,70.98,-0.145
Ben Martin,71,-0.114
Hudson Swafford,71.02,-0.684
Jason Dufner,71.03,0.003
Wyndham Clark,71.04,-0.409
Richy Werenski,71.08,-0.302
Scott Brown,71.09,-0.525
Martin Laird,71.13,-0.025
Brendan Steele,71.13,0.115
Ryan Brehm,71.14,-1.128
Will Gordon,71.14,-0.543
Andrew Landry,71.14,-0.715
Bill Haas,71.16,-0.31
Tyler McCumber,71.16,-0.536
J.T. Poston,71.17,0.022
Adam Long,71.18,-0.457
J.J. Spaun,71.19,-0.394
Luke Donald,71.2,-0.635
Tommy Fleetwood,71.2,0.072
Chris Baker,71.24,-0.268
Dylan Frittelli,71.24,-0.461
D.J. Trahan,71.24,-0.727
Lee Westwood,71.24,0.271
Tom Lewis,71.26,-0.175
Jim Herman,71.33,-0.454
Brandon Hagy,71.34,-0.232
Matt Wallace,71.34,0.875
Rafael Campos,71.35,-0.883
Rickie Fowler,71.35,0.103
Cameron Champ,71.39,-0.607
Bo Van Pelt,71.43,-0.683
Nelson Ledesma,71.46,-1.167
Scott Harrington,71.48,-0.564
Tyler Duncan,71.49,-0.575
Michael Gellerman,71.51,-0.655
Xinjun Zhang,71.51,-0.825
Byeong Hun An,71.52,-0.707
Gary Woodland,71.53,0.096
Danny Lee,71.54,-0.514
Robby Shelton,71.55,-0.685
Rafa Cabrera Bello,71.57,-0.184
Fabián Gómez,71.57,-0.838
Ted Potter Jr.,71.6,-1.16
K.J. Choi,71.62,-1.188
Rhein Gibson,71.64,-1.135
Danny Willett,71.64,0.16
Brian Gay,71.77,-1.218
Kris Ventura,71.81,-0.938
J.B. Holmes,71.9,-0.874
Phil Mickelson,71.93,-0.442
Nick Watney,71.98,-1.442
Sebastian Cappelen,72.07,-1.507
Michael Kim,72.1,-1.369
Sung Kang,72.29,-1.52
Jimmy Walker,72.32,-0.724
Martin Trainer,72.59,-1.781
Grayson Murray,72.65,-2.108
Hunter Mahan,72.67,-1.788
Webb Simpson,68.06,1.597
Bryson DeChambeau,68.76,1.566
Justin Thomas,68.76,1.709
Daniel Berger,68.8,1.56
Jon Rahm,68.81,1.823
Dustin Johnson,68.94,1.409
Xander Schauffele,69.03,1.605
Tyrrell Hatton,69.07,1.431
Rory McIlroy,69.1,1.243
Harris English,69.13,1.467
Scottie Scheffler,69.27,1.078
Patrick Reed,69.41,1.295
Tony Finau,69.42,1.243
Brian Harman,69.42,0.767
Hideki Matsuyama,69.42,0.964
Abraham Ancer,69.55,0.897
Will Gordon,69.56,0.276
Sungjae Im,69.56,0.784
Collin Morikawa,69.58,1.231
Patrick Cantlay,69.59,1.316
Russell Henley,69.62,0.853
Alex Noren,69.64,0.651
Gary Woodland,69.65,0.783
Adam Scott,69.66,0.905
Brendon Todd,69.7,0.397
Scott Stallings,69.72,0.208
Viktor Hovland,69.73,0.789
Harold Varner III,69.77,0.93
Adam Schenk,69.8,0.303
Brice Garnett,69.81,0.324
Kevin Kisner,69.81,0.757
Denny McCarthy,69.81,0.469
Doc Redman,69.82,0.594
Bronson Burgoon,69.83,0.268
Mark Hubbard,69.83,0.508
Joaquin Niemann,69.89,0.502
Cameron Tringale,69.89,0.788
Ian Poulter,69.9,0.689
Brandt Snedeker,69.92,0.192
Paul Casey,69.93,0.431
Cam Davis,69.93,0.56
Tommy Fleetwood,69.93,0.556
Shane Lowry,69.93,0.322
Sebastián Muñoz,69.93,0.691
Matthew NeSmith,69.94,0.279
J.T. Poston,69.95,0.431
Ryan Palmer,69.96,0.387
Billy Horschel,69.97,0.771
Seamus Power,69.97,0.307
Adam Long,69.98,0.533
Bubba Watson,69.98,0.711
Zach Johnson,70,0.466
Russell Knox,70.02,0.03
Brendan Steele,70.02,0.708
Lanto Griffin,70.05,0.64
Richy Werenski,70.05,0.484
Jason Day,70.06,0.843
Kevin Na,70.06,0.691
Carlos Ortiz,70.07,0.458
Pat Perez,70.09,0.272
Tim Wilkinson,70.09,-0.065
Jhonattan Vegas,70.1,0.079
Rickie Fowler,70.11,0.71
Sergio Garcia,70.11,0.583
Adam Hadwin,70.11,0.573
Brian Stuard,70.11,0.252
Talor Gooch,70.12,0.423
Maverick McNealy,70.12,0.244
Matt Kuchar,70.13,0.677
Kyle Stanley,70.13,0.074
Ryan Armour,70.14,-0.193
Henrik Norlander,70.14,0.281
Peter Uihlein,70.14,-0.154
Corey Conners,70.15,0.405
Joel Dahmen,70.16,0.588
Matt Fitzpatrick,70.17,1.067
Bud Cauley,70.18,0.638
Danny Lee,70.19,-0.088
Charles Howell III,70.2,0.177
Jason Kokrak,70.21,0.293
Sam Burns,70.22,0.329
Jim Furyk,70.23,0.356
Ryan Moore,70.23,0.559
Branden Grace,70.24,0.053
Emiliano Grillo,70.26,-0.182
Mackenzie Hughes,70.26,0.392
Cameron Percy,70.27,0.113
Cameron Smith,70.27,0.146
Aaron Wise,70.27,-0.369
Byeong Hun An,70.28,0.055
Josh Teater,70.29,-0.793
Tyler Duncan,70.31,0.042
Chesson Hadley,70.31,0.276
Tom Hoge,70.31,0.401
Patrick Rodgers,70.31,0.386
Sam Ryder,70.31,-0.013
Charley Hoffman,70.32,0.3
Matt Jones,70.32,-0.129
Justin Rose,70.32,0.318
Nick Watney,70.32,0.276
Ben Martin,70.33,-0.259
Nick Taylor,70.34,0.073
Fabián Gómez,70.36,-0.248
Dylan Frittelli,70.37,0.245
Rory Sabbatini,70.38,0.071
Aaron Baddeley,70.4,-0.081
Louis Oosthuizen,70.4,-0.06
Cameron Champ,70.41,0.39
Harry Higgs,70.41,-0.122
Martin Laird,70.41,-0.082
Bo Hoag,70.42,-0.332
Kevin Streelman,70.42,0.414
Matthew Wolff,70.42,0.491
David Hearn,70.43,-0.281
Luke List,70.43,0.301
Kris Ventura,70.43,-0.115
Jordan Spieth,70.44,0.137
Troy Merritt,70.46,-0.166
Brandon Hagy,70.48,-0.311
Chase Seiffert,70.48,0.196
Vaughn Taylor,70.48,-0.058
Chris Baker,70.49,-0.12
Chez Reavie,70.49,0.278
James Hahn,70.5,0.327
Michael Thompson,70.5,-0.173
Lucas Glover,70.51,0.085
Si Woo Kim,70.55,0.267
Max Homa,70.56,0.279
Phil Mickelson,70.57,0.147
Patton Kizzire,70.58,-0.606
Keegan Bradley,70.6,-0.045
Austin Cook,70.6,-0.15
D.J. Trahan,70.6,-0.581
Xinjun Zhang,70.6,0.26
Sepp Straka,70.61,0.368
Mark Anderson,70.62,-0.075
Doug Ghim,70.65,-0.52
K.H. Lee,70.65,-0.182
Brooks Koepka,70.68,0.42
Andrew Landry,70.68,-0.536
Kramer Hickok,70.69,-0.53
Nate Lashley,70.69,-0.321
Anirban Lahiri,70.71,-0.674
Vince Whaley,70.71,-0.745
Rafa Cabrera Bello,70.74,-0.524
Roger Sloan,70.75,-0.6
Joseph Bramlett,70.77,-0.298
Rob Oppenheim,70.77,-0.368
Wes Roach,70.78,-1.056
Chris Stroud,70.78,-0.577
Beau Hossler,70.79,-0.499
Hank Lebioda,70.8,-0.621
Scott Piercy,70.8,-0.169
Jason Dufner,70.81,0.004
Brian Gay,70.81,-0.578
Peter Malnati,70.81,-0.492
Robby Shelton,70.82,-0.121
Arjun Atwal,70.84,-1.002
Ryan Brehm,70.86,-0.821
Ben Taylor,70.86,-0.584
Wyndham Clark,70.87,-0.302
Kevin Chappell,70.9,-0.364
Michael Gligic,70.9,-0.208
Bill Haas,70.93,-1.064
Scott Brown,70.95,-0.347
Tyler McCumber,70.96,-0.725
Stewart Cink,71,0.101
Michael Gellerman,71.02,-0.525
Zack Sucher,71.03,-0.381
Ted Potter Jr.,71.07,-0.883
Grayson Murray,71.08,-0.691
Robert Streb,71.08,-1.155
Matt Wallace,71.11,0.031
Keith Mitchell,71.16,-0.258
Zac Blair,71.18,-0.809
Rhein Gibson,71.18,-0.87
Scott Harrington,71.19,-0.344
Marc Leishman,71.2,-0.239
Sung Kang,71.21,-0.532
C.T. Pan,71.21,-0.852
Sebastian Cappelen,71.26,-1.09
Andrew Putnam,71.26,-1.021
J.J. Spaun,71.28,-0.66
Dominic Bozzelli,71.33,-0.963
Kevin Tway,71.54,-1.013
Nelson Ledesma,71.65,-1.835
Graeme McDowell,71.65,-0.788
Danny Willett,71.68,-0.289
Jim Herman,71.82,-0.901
Matt Every,71.87,-1.766
Jimmy Walker,72.04,-0.846
Bo Van Pelt,72.67,-2.46
Martin Trainer,74.26,-3.454
Justin Thomas,68.99,1.631
Rory McIlroy,69.04,2.551
Webb Simpson,69.13,1.507
Patrick Cantlay,69.17,1.857
Brooks Koepka,69.2,1.366
Jon Rahm,69.41,1.505
Scott Piercy,69.51,0.631
Hideki Matsuyama,69.52,1.498
Denny McCarthy,69.54,0.687
Matt Kuchar,69.55,1.062
Sungjae Im,69.58,1.023
Xander Schauffele,69.65,1.393
Charles Howell III,69.66,0.809
Paul Casey,69.67,1.361
Lucas Glover,69.67,0.976
Adam Scott,69.7,1.831
Tony Finau,69.75,0.768
Rickie Fowler,69.76,1.066
Patrick Reed,69.76,0.876
Gary Woodland,69.76,0.882
Vaughn Taylor,69.78,0.732
Bryson DeChambeau,69.79,1.013
Troy Merritt,69.79,0.421
Wyndham Clark,69.81,0.413
Bud Cauley,69.83,0.558
Chez Reavie,69.83,0.824
Rory Sabbatini,69.83,0.82
Johnson Wagner,69.86,0.005
Talor Gooch,69.87,0.37
Tommy Fleetwood,69.88,1.279
Dustin Johnson,69.89,1.321
Justin Rose,69.9,1.243
Sebastián Muñoz,69.91,0.343
Sam Ryder,69.92,0.462
Nate Lashley,69.96,0.523
Dominic Bozzelli,69.97,-0.15
Cameron Tringale,69.97,0.546
Jason Kokrak,69.98,1.036
Joaquin Niemann,69.99,0.67
Abraham Ancer,70,0.515
Jason Day,70,0.833
Marc Leishman,70,0.833
Ryan Palmer,70,0.475
Josh Teater,70.01,0.262
Dylan Frittelli,70.02,0.439
J.T. Poston,70.02,0.506
Martin Laird,70.03,0.223
Nick Taylor,70.03,0.452
Kevin Kisner,70.05,0.671
Wes Roach,70.05,0.165
Shawn Stefani,70.05,0.093
Jim Furyk,70.06,0.897
Adam Schenk,70.08,0.487
Brice Garnett,70.09,-0.034
Cam Davis,70.1,0.137
Russell Henley,70.1,0.167
